Date,Description,Category,Property,Amount
01/15/2024,Rent Payment - Unit 1,Rental Income,Sunset Apartments,1200.00
01/15/2024,Rent Payment - Unit 2,Rental Income,Sunset Apartments,1200.00
01/15/2024,Late Fee - Unit 4,Late Fee Income,Sunset Apartments,50.00
01/20/2024,Emergency Plumbing,Repairs,Sunset Apartments,-450.00
01/01/2024,Management Fee,Management Fees,Sunset Apartments,-480.00
01/10/2024,City Water,Utilities,Sunset Apartments,-650.00
01/15/2024,Rent Payment - Apt 1A,Rental Income,Downtown Lofts,1800.00
01/15/2024,Pet Fee,Other Income,Downtown Lofts,25.00
01/05/2024,Elevator Service,Repairs,Downtown Lofts,-250.00
02/15/2024,Rent Payment - Unit 1,Rental Income,Sunset Apartments,1200.00
02/12/2024,HVAC Repair,Repairs,Sunset Apartments,-320.00
02/01/2024,Management Fee,Management Fees,Sunset Apartments,-480.00
03/15/2024,Rent Payment,Rental Income,Willow Creek Home,2500.00
03/05/2024,Lawn Care,Landscaping,Willow Creek Home,-120.00
